Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	153	156	158	165	166	168	170	Notes
Anglia	0363	12	EA1320	BOK1	"Camden Road West Jn – Camden
Road Central Jn"	5	10	4	64	Y	N	N	N	E	E	"E
R1"	Y	R1Prohibited with deflated suspension
Anglia	0363	13	EA1320	CRF1	"Camden Road Central Jn – Route
Boundary (LN115) (North London
Incline)"	0	51	0	20	Y	N	N	N	N	N	N	E	
Anglia	0363	14	EA1320	BOK1	"Camden Road Central Jn –
Canonbury West Jn"	4	64	3	12	Y	N	E	N	E	E	"E
R1"	Y	R1Prohibited with deflated suspension
Anglia	0363	15	EA1320	CFP	"Canonbury West Jn – Route Boundary
(LN110) (Finsbury Park)"	3	12	3	20	Y	N	E	N	N	N	N	E	
Anglia	0363	16	EA1320	BOK1	"Canonbury West Jn – Dalson Western
Jn"	3	12	2	21	Y	N	E	N	E	E	"E
R1"	Y	R1Prohibited with deflated suspension
Anglia	0363	17	EA1320	"DWW
1"	"Dalston Western Jn - Navarino Road
Jn (Change of Mileage)"	2	21	1	52	Y	N	E	N	E	E	"E
R1"	Y	R1Prohibited with deflated suspension
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	153	156	158	165	166	168	170	Notes
Anglia	0364	1	EA1320	DWW2	"Navarino Road Jn (Change of
Mileage) – Lea Jn"	1	11	3	19	Y	N	E	N	E	E	"E
R1"	Y	R1Prohibited with deflated suspension
Anglia	0364	2	EA1320	DWW2	Lea Jn – Channelsea North Jn	3	19	3	32	Y	N	E	N	E	E	"E
R1"	Y	R1Prohibited with deflated suspension
Anglia	0364	3	EA1320	DWW2	"Channelsea North Jn – Channelsea
South Jn"	3	32	3	33	Y	N	E	N	E	E	"E
R1"	Y	R1Prohibited with deflated suspension
Anglia	0364	4	EA1320	DWW2	Channelsea South Jn – Stratford	3	33	3	74	Y	N	N	N	N	N	N	N	
Anglia	0364	5	EA1325	BOK1	"Limit of reversible working DNL –
Network Rail Boundary (TFL ELL)"	3	38	2	17	N	N	N	N	N	N	N	N	
Anglia	0364	6	EA1325	ELL1	"Network Rail Boundary (TFL ELL) –
Canal Jn (TFL Infrastructure)"	2	17	5	21	N	N	N	N	N	N	N	N	
Anglia	0364	7	EA1325	ELL1	"Canal Jn – TFL / Network Rail
Boundary (SO510) (Via Up East
London Line) (TFL Infrastructure)"	5	21	5	52	N	N	N	N	N	N	N	N	
Anglia	0364	8	EA1325	ELL1	"Canal Jn – TFL / Network Rail
Boundary (SO510) (Via Down East
London Line) (TFL Infrastructure)"	5	21	5	73	N	N	N	N	N	N	N	N	
Anglia	0364	9	EA1325	ELL2	"Canal Jn – Lewisham (TFL
Infrastructure)"	5	21	5	78	N	N	N	N	N	N	N	N	
Anglia	0364	10	EA1327	ELL3	"Silwood Jn  – ELL/Network Rail
Boundary (TFL Infrastructure)"	4	66	5	51	N	N	N	N	N	N	N	N	
Anglia	0364	11	EA1327	ELL4	"ELL/Network Rail Boundary – Old
Kent Road Jn (SO680)"	2	23	2	32	N	N	N	N	N	N	N	N	
Anglia	0364	12	EA1330	BOK 5	South Acton Jn – Kew East Jn	2	52	3	27	N	N	N	N	N	N	N	N	
Anglia	0364	13	EA1330	NKE1	"Kew East Jn – Route Boundary
(SW230) (New Kew Jn)"	3	27	3	39	N	N	N	N	N	N	N	Y	
Anglia	0364	14	EA1330	BOK5	"Kew East Jn – Route Boundary
(SW230) (Old Kew Jn)"	3	27	3	61	N	N	N	N	N	N	N	Y	
Anglia	0364	15	EA1340	LLS2	Lea Jn – High Meads Jn	0	51	0	65	Y	N	N	N	N	N	N	N	
Anglia	0364	16	EA1350	CHM	"Channelsea North Jn – High Meads
Jn"	0	00	0	15	Y	N	N	N	E	E	N	Y	
Anglia	0364	17	EA1350	LLS1	High Meads Jn – Temple Mills East Jn	0	15	0	59	Y	N	N	N	E	E	N	Y	
Anglia	0364	18	EA1360	CAW	"Route Boundary (LN3219)
(Cricklewood Curve Jn) – Dudding Hill
Jn"	5	72	6	04	Y	Y	Y	N	N	N	E	"E
R1"	R1Prohibited with deflated suspension
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	153	156	158	165	166	168	170	Notes
Anglia	0365	1	EA1360	BDH	"Route Boundary (LN3222) (Brent Curve Jn) –
Dudding Hill Jn"	0	54	1	03	Y	Y	Y	N	N	N	N	Y	
Anglia	0365	2	EA1360	CAW	Dudding Hill Jn – Neasden Jn	6	04	7	02	N	N	N	N	N	N	E	"E
R1"	R1Prohibited with deflated suspension
Anglia	0365	3	EA1360	NJN	"Neasden Jn – Route Boundary (MD715)
(Neasden South Jn)"	6	56	6	51	N	N	N	N	"E
R1"	N	E	Y	R1Route prohibited to Class 165/1
Anglia	0365	4	EA1360	CAW	Neasden Jn – Acton Canal Wharf Jn	7	02	8	45	N	N	N	N	"E
R1
R2"	N	E	"E
R3"	"R1Route prohibited to Class 165/1
R2Prohibited with footsteps fitted
R3Prohibited with deflated suspension"
Anglia	0365	5	EA1360	ACW	"Acton Canal Wharf Jn – Route Boundary
(MD170) (Willesden Jn)"	0	35	0	11	N	N	N	N	"E
R1
R2"	N	E	Y	"R1Route prohibited to Class 165/1
R2Prohibited with footsteps fitted"
Anglia	0365	6	EA1360	CAW	"Acton Canal Wharf Jn – Acton Wells Jn
(Change of Mileage)"	8	45	8	77	N	N	N	N	"E
R1
R2"	N	E	"E
R3"	"R1Route prohibited to Class 165/1
R2Prohibited with footsteps fitted
R3Prohibited with deflated suspension"
Anglia	0365	7	EA1360	WAW	"Acton Wells Jn (Change of Mileage) – Route
Boundary (MD167)  Willesden West London
Jn)"	6	19	6	76	Y	N	N	Y	N	N	N	N	
Anglia	0365	8	EA1360	CAW	"Acton Wells Jn (Change of Mileage) – Acton
Wells Jn"	0	63	0	66	Y	N	N	Y	"E
R1
R2"	N	E	"E
R3"	"R1Route prohibited to Class 165/1
R2Prohibited with footsteps fitted
R3Prohibited with deflated suspension"
Anglia	0365	9	EA1370	GOJ	Gospel Oak Jn – Junction Rd Jn	0	00	0	58	Y	N	N	N	E	E	N	Y	
Anglia	0365	10	EA1370	JRT2	"Junction Rd Jn – Route Boundary (LN3210)
(Carlton Rd Jn)"	2	42	2	38	Y	N	N	N	E	E	N	N	
Anglia	0365	11	EA1370	TAH1	Junction Rd Jn – Harringay Park Jn	2	42	4	15	Y	N	N	N	E	E	N	Y	
Anglia	0365	12	EA1370	HPW	"Harringay Park Jn – Route Boundary
(LN165) (Harringay Jn)"	0	25	0	14	Y	N	N	N	E	E	N	Y	
Anglia	0365	13	EA1370	TAH1	"Harringay Park Jn – South Tottenham West
Jn"	4	15	5	65	Y	N	N	N	E	E	N	Y	
Anglia	0365	14	EA1370	TAH1	"South Tottenham West Jn – South
Tottenham East Jn"	5	65	5	73	Y	N	N	N	E	E	N	Y	
Anglia	0365	15	EA1370	TAH2	"South Tottenham East Jn – Woodgrange
Park Jn"	5	73	11	79	Y	N	N	N	N	N	N	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	153	156	158	165	166	168	170	Notes
Anglia	0366	1	EA1370	TAH3	"Woodgrange Park Jn – Barking Station
Jn"	11	79	13	12	Y	N	N	N	N	N	N	N	
Anglia	0366	2	EA1370	TAH3	"Barking Station Jn – Barking Tilbury Jn
West"	13	12	13	42	Y	N	N	N	N	N	N	N	
Anglia	0366	3	EA1370	TAH4	Barking Station Jn – Barking Platform 1	13	12	13	62	Y	N	N	N	N	N	N	N	
Anglia	0366	4	EA1380	FSS1	Fenchurch Street – Gas Factory Jn	0	00	2	57	N	N	N	N	N	N	N	N	
Anglia	0366	5	EA1380	FSS1	Gas Factory Jn – East Ham Depot	2	57	6	18	N	N	N	N	N	N	N	N	
Anglia	0366	6	EA1380	FSS1	"East Ham Depot – Barking Tilbury Jn
West"	6	18	7	33	E	N	N	N	N	N	N	N	
Anglia	0366	7	EA1380	FSS2	"Barking Tilbury Jn West – Barking
Tilbury Jn East"	7	33	7	60	N	N	N	N	N	N	N	N	
Anglia	0366	8	EA1380	FSS2	Barking Tilbury Jn East – Upminster	7	60	15	20	N	N	N	N	N	N	N	N	
Anglia	0366	9	EA1380	FSS2	Upminster – Southend Central	15	20	35	55	N	N	N	N	N	N	N	N	
Anglia	0366	10	EA1380	FSS3	Southend Central – Shoeburyness	35	55	39	40	N	N	N	N	N	N	N	N	
Anglia	0366	11	EA1390	TLL	"Barking Tilbury Line Jn East – Former
Tilbury West Jn"	7	60	22	06	N	N	N	N	N	N	N	N	
Anglia	0366	12	EA1390	TLL	Former Tilbury West Jn – Pitsea Jn	22	06	32	43	N	N	N	N	N	N	N	N	
Anglia	0366	13	EA1400	GFB	Gas Factory Jn – Bow Jn	2	57	3	47	N	N	N	N	N	N	N	N	
Anglia	0366	14	EA1410	FSS2	Upminster – Upminster East Jn	15	20	15	39	N	N	N	N	N	N	N	N	
Anglia	0366	15	EA1410	UPG	Upminster East Jn – West Thurrock Jn	0	00	6	56	N	N	N	N	N	N	N	N	
Anglia	0366	16	EA1420	THN	Thames Haven Jn – Thames Haven	26	41	30	18	N	N	N	N	N	N	N	N	
Anglia	0366	17	EA1430	ESK	East Suffolk Jn – Westerfield Jn	69	41	73	23	Y	Y	Y	N	N	N	N	Y	
Anglia	0366	18	EA1430	ESK	Westerfield Jn – Oulton Broad North Jn	73	23	116	27	R1	R1	R1	N	N	N	N	R1	R1Prohibited unless TCA fitted
Anglia	0366	19	EA1440	FEL	Westerfield Jn – Felixstowe Beach Jn	73	23	83	57	Y	Y	Y	N	N	N	N	Y	
Anglia	0366	20	EA1440	FEL	Felixstowe Beach Jn – Felixstowe town	83	57	84	30	Y	Y	Y	N	N	N	N	Y	
Anglia	0366	21	EA1450	TFN	"Trimley – Port of Felixstowe North Quay
Terminal"	0	00	0	18	N	N	N	N	N	N	N	N	
Anglia	0366	22	EA1460	FED	"Felixstowe Beach Jn – Felixstowe
Beach"	83	57	86	34	N	N	N	N	N	N	N	N	
Anglia	0366	23	EA1470	NOL	Thorpe Jn – Limit of Electrification	0	09	0	79	Y	Y	Y	Y	N	N	N	Y	
Anglia	0366	24	EA1470	NOL	Limit of Electrification – Reedham Jn	0	79	12	34	Y	R1	Y	Y	N	N	N	Y	"R1Prohibited Cantley Down platform with deflated
suspension"
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	153	156	158	165	166	168	170	Notes
Anglia	0367	1	EA1470	NOL	Reedham Jn – Lowestoft	12	34	23	41	Y	Y	Y	Y	N	N	N	Y	
Anglia	0367	2	EA1480	"WHC
1"	"Whitlingham Jn – North Walsham
(End of Station Loop)"	1	69	16	30	Y	Y	Y	Y	N	N	N	Y	
Anglia	0367	3	EA1480	"WHC
1"	"North Walsham (End of Station Loop)
– Change of Mileage (Site of Former
Roughton Road Jn)"	16	30	24	00	Y	Y	Y	Y	N	N	N	Y	
Anglia	0367	4	EA1480	"WHC
2"	"Change of Mileage (Site of Former
Roughton Road Jn) – Change of
Mileage (Site of Former Runton East
Jn)"	11	54	13	48	Y	Y	Y	Y	N	N	N	Y	
Anglia	0367	5	EA1480	"WHC
3"	"Change of Mileage (Site of Former
Runton East Jn) – Cromer"	45	64	46	42	Y	R1	Y	Y	N	N	N	Y	"R1Prohibited Cromer platform 1 with deflated
suspension"
Anglia	0367	6	EA1490	CRS	"Cromer Jn – Network Rail Boundary
(North Norfolk Railway)"	46	27	42	69	Y	Y	Y	Y	N	N	N	Y	
Anglia	0367	7	EA1500	NAY	Brundall Jn – Yarmouth Via Acle	5	72	18	29	Y	R1	Y	Y	N	N	N	Y	R1Prohibited Yarmouth platform 2
Anglia	0367	8	EA1500	RBY	"Breydon Access No24 LC (EA1510) –
Yarmouth"	19	13	20	45	Y	R1	Y	Y	N	N	N	Y	R1Prohibited Yarmouth platform 2
Anglia	0367	9	EA1510	RBY	"Reedham Jn – Breydon Access No24
LC"	12	34	19	13	Y	Y	Y	Y	N	N	N	Y	
Anglia	0367	10	EA1520	SIZ	Saxmundham Jn – Sizewell	91	40	95	79	N	N	N	N	N	N	N	N	
Anglia	0367	11	EA1530	CCH	Coldham Lane Jn – Haughley Jn	0	23	40	49	Y	Y	Y	Y	N	N	N	Y	
Anglia	0367	12	EA1540	SOB1	"Chippenham Jn – Site of Former
Snailwell Jn"	0	63	0	00	Y	Y	Y	Y	N	N	N	Y	
Anglia	0367	13	EA1540	SOB2	"Site of Former Snailwell Jn  – Ely
Dock Jn"	1	54	12	33	Y	Y	Y	Y	N	N	N	Y	
Anglia	0367	14	EA1550	EWC	"Ely North Jn – Ely West Jn (Ely West
Curve)"	71	63	72	63	Y	Y	Y	Y	N	N	N	Y	
Anglia	0367	15	EA1560	EMP	Ely North Jn – Ely West Jn	71	63	72	39	Y	Y	Y	Y	N	N	N	Y	
