Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0959	15	SC063	CND2	"Cardonald North Jn – Deanside (Goods
Line)"	0	36	1	54	N	N	N	N	N	N	N	
Scotland	0959	16	SC065	GOU1	Paisley (Wallneuk Jn) – Change of ELR	6	34	6	53	N	N	N	Y	Y	Y	N	
Scotland	0959	17	SC065	GOU2	Change of ELR – Bishopton	107	70	112	60	N	N	N	Y	Y	Y	N	
Scotland	0959	18	SC065	GOU2	Bishopton – Gourock	112	60	126	58	N	N	N	Y	Y	Y	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0960	1	SC067	WYS	Wemyss Bay Jn – Wemyss Bay	0	00	10	03	N	N	N	Y	Y	Y	N	
Scotland	0960	2	SC073	LGS1	Kilwinning Jn – Change of ELR	25	65	30	44	N	N	N	Y	Y	Y	N	
Scotland	0960	3	SC073	LGS2	Change of ELR – Fairlie High Siding	30	44	38	69	N	N	N	Y	Y	Y	N	
Scotland	0960	4	SC073	LGS2	Fairlie High Siding – Largs	38	69	42	07	N	N	N	Y	Y	Y	N	
Scotland	0960	5	SC077	ARH	"Ardrossan South Beach – Adrossan
Harbour"	30	44	31	35	N	N	N	Y	Y	Y	N	
Scotland	0960	6	SC079	HUN	"Hunterston – Hunterston Low Level Sdgs
(Goods Line)"	0	00	0	36	N	N	N	N	N	N	N	
Scotland	0960	7	SC081	BYL	Byrehill Jn – Dubbs Jn	0	60	0	00	N	N	N	Y	Y	Y	N	
Scotland	0960	8	SC085	AYH1	Ayr Harbour – Newton Jn (Goods Line)	0	17	0	00	N	N	N	N	N	N	N	
Scotland	0960	9	SC087	ANN	Newton Jn – Mauchline (Goods Line)	39	42	50	16	N	N	N	N	N	N	N	
Scotland	0960	10	SC089	KCH1	Annbank – Change of ELR	43	52	48	73	N	N	N	N	N	N	N	
Scotland	0960	11	SC089	KCH2	"Change of ELR – Killoch Colliery (Goods
Line)"	0	00	3	43	N	N	N	N	N	N	N	
