London-North-Eastern	0986	6	LN736	NUJ1	"Site of Former Nunnery Jn – Nunnery Main
Line Jn"	159	33	158	77	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	0986	7	LN738	MWN	"Great Coates No. 1 – Network Rail Boundary
(ABP)"	108	34	108	44	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0986	8	LN740	MWN	Marsh West Jn – Network Rail Boundary (ABP)	107	69	108	44	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0986	9	LN740	PYE2	"Network Rail Boundary (ABP) – Site of Former
Queens Road Jn"	4	33	0	00	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0986	10	LN740	PYE1	"Site of Former Queens Road Jn – Immingham
East Jn"	106	50	106	31	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0986	11	LN740	BRI2	Immingham East Jn – Humber Road Jn	106	31	104	05	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0986	12	LN741	HAU	Habrough – Ulceby South Jn	0	32	1	45	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Eastern	0986	13	LN742	KIL2	"Killingholme – Immingham West Change of
Mileage"	2	70	0	00	N	N	N	N	N	N	R1	R1	N	"R1See Sectional Appendix Local
Instructions"
London-North-Eastern	0986	14	LN742	KIL1	"Immingham West Change of Mileage – Humber
Rd Jn"	105	10	104	05	N	N	N	N	N	N	Y	Y	N	
London-North-Eastern	0986	15	LN742	BRI2	Humber Rd Jn – Ulceby North Jn	104	05	100	44	N	N	N	N	N	N	Y	Y	N	
London-North-Eastern	0986	16	LN742	BRI1	Ulceby North Jn – Brocklesby West Jn	100	44	99	20	R1	R1	R1	R1	R1	N	Y	Y	N	"R1Prohibited between Ulceby South
Jn and Brocklesby West Jn"
London-North-Eastern	0986	17	LN744	BAR	Ulceby North Jn – Barton on Humber	100	44	110	18	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Eastern	0986	18	LN746	TYB1	Cottam Power Station – Clarborough Jn	71	79	68	32	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0986	19	LN748	WHR	etford Western Jn – Thrumpton West Jn	64	29	63	28	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0986	20	LN750	MAC3	Woodburn Jn – Deepcar	42	29	33	35	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0986	21	LN752	DOW	rawby Jn – Marshgate Jn	33	34	0	03	Y	Y	Y	Y	Y	R1	Y	Y	N	"R1Prohibited between Wrawby Jn
and Thorne Jn"
London-North-Eastern	0986	22	LN754	SAN	Scunthorpe Foreign Ore Branch	0	00	1	16	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0986	23	LN756	NOP1	"Scunthorpe Trent Jn – Site of Former Dawes
Lane Jn"	0	00	0	28	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0986	24	LN756	NOP2	"Site of Former Dawes Lane Jn – NR Boundary
(Roxby)"	0	25	3	60	N	N	N	N	N	N	N	N	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	0987	1	LN758	BKS	Brancliffe East Jn – St Catherines Jn	0	00	15	17	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0987	2	LN758	BKS	St Catherines Jn – Low Ellers Curve Jn	15	17	15	55	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0987	3	LN758	BKS	Low Ellers Curve Jn – Kirk Sandall Jn	15	55	20	49	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0987	4	LN760	HAC	Firbeck Jn – Harworth Colliery	11	20	14	21	N	N	N	N	N	N	N	N	N	"Line out of use (temporarily) until 09
May 2015
NC/G1/2011/LNE/STNC/002"
London-North-Eastern	0987	5	LN762	YDS	"St Catherines Jn – Decoy South Jn (St
Catherines Curve)"	15	17	15	71	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0987	6	LN764	UDS	Low Ellers Curve Jn – Potteric Carr Jn	15	55	16	56	N	N	N	N	N	N	N	N	N	
